Alternate Name	Alternate TSN	Preferred Name	Preferred TSN
Ischnura	102078	Coenagrionidae	102077
Ischnura cervula	102080	Coenagrionidae	102077
Ischnura perparva	102087	Coenagrionidae	102077
Isocapnia	102740	Capniidae	102643
Isogenoides elongatus	103130	Isogenoides	103124
Isonychia velma	101042	Isonychia	101041
Isonychiidae	609506	Isonychia	101041
Isoperla fulva	103004	Isoperla	102995
Isoperla fusca	103029	Isoperla	102995
Isoperla lata	103015	Isoperla	102995
Isoperla marmorata	103006	Isoperla	102995
Isoperla mormona	103007	Isoperla	102995
Isoperla petersoni	103028	Isoperla	102995
Isoperla sobria	103037	Isoperla	102995
Isoperlinae	609859	Perlodidae	102994
Juga bulbosa	71584	Juga	71570
Juga hemphilli	71600	Juga	71570
Juga plicifera	71571	Juga	71570
Juga silicula	71594	Juga	71570
Kathroperla perdita	103237	Kathroperla	103236
Kincaidiana hexatheca	68471	Kincaidiana	68470
Kogotus	103149	Kogotus/Rickera	-20
Kogotus nonus	103150	Kogotus/Rickera	-20
Labiobaetis sonajuventus	-169	Labiobaetis	568552
Laccodytes	112268	Dytiscidae	111963
Laccophilus maculosus	112279	Laccophilus	112278
Laccophilus maculosus decipiens	193558	Laccophilus	112278
Lara avara	114139	Lara	114137
Lauterborniella agrayloides	129526	Lauterborniella	129525
Lenarchus	116349	Limnephilidae	115933
Lepidostoma (Neodinarthrum)	598779	Lepidostoma	116794
Lepidostoma baxea	116891	Lepidostoma	116794
Lepidostoma cascadense	116886	Lepidostoma	116794
Lepidostoma cinereum	116888	Lepidostoma	116794
Lepidostoma hoodi	116879	Lepidostoma	116794
Lepidostoma Hoodi Group	-255	Lepidostoma	116794
Lepidostoma pluviale	116875	Lepidostoma	116794
Lepidostoma Pluviale Group	-21	Lepidostoma	116794
Lepidostoma podagrum	116815	Lepidostoma	116794
Lepidostoma roafi	116818	Lepidostoma	116794
Lepidostoma togatum	116847	Lepidostoma	116794
Lepidostoma unicolor	116821	Lepidostoma	116794
Lepidostoma Unicolor Group	-257	Lepidostoma	116794
Lepidostomatidae	116793	Lepidostoma	116794
Lepidotoma-panel case larvae	-258	Lepidostoma	116794
Leptophlebia	101148	Leptophlebiidae	101095
Lestes congener	102062	Lestes	102061
Lestes disjunctus	102063	Lestes	102061
Lestes dryas	102066	Lestes	102061
Leucorrhinia proxima	101892	Libellulidae	101797
Leucotrichia pictipes	115631	Leucotrichia	115630
Leuctra	102844	Leuctridae	102840
Libellula	101893	Libellulidae	101797
Libellula forensis	101911	Libellulidae	101797
Limnactiniidae	52810	Hydra	50845
Limnebius	112768	Hydraenidae	112756
Limnephilidae sp. AJF#01	-212	Limnephilidae	115933
Limnephilidae sp. AJF#02	-213	Limnephilidae	115933
Limnephilidae sp. AJF#03	-214	Limnephilidae	115933
Limnephilinae	568764	Limnephilidae	115933
Limnodrilus hoffmeisteri	68639	Limnodrilus	68638
Limnophila	120164	Eloeophila	-246
Limnophilinae	-247	Limoniidae	-233
Limnophilinae	-245	Limoniidae	-233
Limnophora	150730	Muscidae	150025
Limonia	119704	Dicranomyia	-241
Limoniinae	119654	Limoniidae	-233
Limoniinae sp. AJF#01	-215	Limoniidae	-233
Limoniinae sp. AJF#02	-216	Limoniidae	-233
Limoniinae sp. AJF#03	-217	Limoniidae	-233
Liodessus	112580	Hydroporinae	678402
Liodessus obscurellus	728347	Hydroporinae	678402
Lumbriculus	68441	Lumbriculidae	68440
Lymnaea	76484	Lymnaeidae	76483
Lymnaea auricularia	76485	Lymnaeidae	76483
Maccaffertium terminatum	698471	Maccaffertium	697957
Maccaffertium vicarium	698255	Maccaffertium	697957
Macropelopia decedens	128037	Macropelopia	128034
Malenka depressa	102577	Malenka	102567
Mallochohelea	127702	Ceratopogoninae	127338
Margaritifera	80370	Margaritiferidae	79914
Margaritifera falcata	80372	Margaritiferidae	79914
Maruina lanceolata	125394	Maruina	125392
Matriella	776924	Matriella teresa	776979
Megarcys subtruncata	103114	Megarcys	103110
Mena	611343	Hydra	50845
Menetus (Micromenetus)	573260	Menetus	76626
Menetus opercularis	76628	Menetus	76626
Meringodixa chalonensis	125874	Meringodixa	125873
Meropelopia	128132	Thienemannimyia Group	-276
Merycomyia	131055	Tabanidae	130934
Mesocapnia	102771	Capniidae	102643
Metrichia	598644	Hydroptilidae	115629
Micrasema dimicki	116968	Micrasema	116958
Microcylloepus pusillus	114147	Microcylloepus	114146
Microcylloepus similis	114160	Microcylloepus	114146
Micromenetus	-170	Menetus	76626
Micromenetus dilatatus	-171	Menetus	76626
Micropsectra/Tanytarsus	-23	Tanytarsini	129872
Microtendipes rydalensis	129547	Microtendipes Rydalensis Group	-141
Monohelea	127575	Ceratopogoninae	127338
Mooreobdella	69449	Erpobdella	69444
Moselia infuscata	102910	Moselia	102909
Moselyana	116379	Moselyana comosa	116380
Mystacides alafimbriatus	116603	Mystacides	116598
Myzobdella	69315	Erpobdella	69444
Nais communis	68950	Nais	68946
Nais variabilis	68959	Nais	68946
Namamyia plutonis	116521	Namamyia	116520
Narpus angustus	114143	Narpus	114142
Narpus concolor	114144	Narpus	114142
Nebrioporus	728251	Hydroporinae	678402
Nectopsyche gracilis	116662	Nectopsyche	116651
Nematoda	59490	Nemata	563956
Nemertea	57411	Prostoma	57577
Nemoura	102526	Nemouridae	102517
Neoclypeodytes	112595	Hydroporinae	678402
Neoclypeodytes ornatellus	728508	Hydroporinae	678402
Neoleptophlebia	-201	Neoleptophlebia/Paraleptophlebia	-274
Neoplanorbis	76649	Planorbidae	76591
Neoporus undulatus	728426	Neoporus	728252
Neothremma alicia	116389	Neothremma	116388
Nerophilus californicus	116523	Nerophilus	116522
Nilotanypus fimbriatus	128203	Nilotanypus	128202
Nimbocera	129932	Tanytarsus	129978
Nixe	100692	Afghanurus	-243
Noctuidae	117318	Lepidoptera	117232
Nootkadrilus	-168	Nootkadrilus	974543
Nootkadrilus longisetosus	978138	Nootkadrilus	974543
Ochrotrichia alsea	115730	Ochrotrichia	115714
Ochrotrichia stylata	115765	Ochrotrichia	115714
Ochthebius	112777	Hydraenidae	112756
Octogomphus specularis	101737	Octogomphus	101736
Odontomesa fulva	128447	Odontomesa	128446
Oecetis avara	116608	Oecetis	116607
Oecetis disjuncta	116641	Oecetis	116607
Oligia	117424	Lepidoptera	117232
Oliveridia	128867	Orthocladiinae	128457
Onocosmoecus unicolor	116318	Onocosmoecus	116315
Ophidonais serpentina	68996	Ophidonais	68995
Ophiogomphus occidentis	101760	Ophiogomphus	101738
Ophiogomphus severus	101741	Ophiogomphus	101738
Optioservus castanipennis	193732	Optioservus	114177
Optioservus divergens	114178	Optioservus	114177
Optioservus pecosensis	114191	Optioservus	114177
Optioservus quadrimaculatus	114180	Optioservus	114177
Optioservus seriatus	114181	Optioservus	114177
Ordobrevia	114235	Ordobrevia nubifera	114236
Oreodytes abbreviatus	112315	Oreodytes	112314
Oreodytes congruus	568828	Oreodytes	112314
Oreodytes obesus	112316	Oreodytes	112314
Oreodytes quadrimaculatus	568830	Oreodytes	112314
Oreodytes sanmarkii	728513	Oreodytes	112314
Orohermes crepusculus	115045	Orohermes	115044
Oroperla	103180	Oroperla barbara	103181
Orthocladiinae Genus 5 (Coffman and Ferrington)	-136	Parakiefferiella ferringtoni	-285
Orthocladiinae sp. RAI # 0001	-134	Oropuella	-253
Orthocladiinae sp. RAI # 0004	-135	Orthocladiinae	128457
Orthocladius (Orthocladius)	568522	Orthocladius	128874
Orthocladius annectens	128878	Orthocladius	128874
Orthocladius consobrinus	128886	Orthocladius	128874
Orthocladius lignicola	128913	Orthocladius (Symposiocladius)	568523
Osobenus	103183	Osobenus yakimae	103184
