"","alternate_name","alternate_tsn","preferred_name","preferred_tsn","rationale","otu_metric_calc","otu_bcg_orwa","otu_bcg_orwa_worms","Taxon.Serial.Number.x","Rank.x","Phylum.x","Subphylum.x","Superclass.x","Class.x","Subclass.x","Infraclass.x","Superorder.x","Order.x","Suborder.x","Infraorder.x","Superfamily.x","Family.x","Subfamily.x","Custom.Subfamily.x","Tribe.x","Genus.Group.x","Subtribe.x","Genus.x","Species.Group.x","Subgenus.x","Species.x","Subspecies.x","Taxon.Serial.Number.y","Rank.y","Phylum.y","Subphylum.y","Superclass.y","Class.y","Subclass.y","Infraclass.y","Superorder.y","Order.y","Suborder.y","Infraorder.y","Superfamily.y","Family.y","Subfamily.y","Custom.Subfamily.y","Tribe.y","Genus.Group.y","Subtribe.y","Genus.y","Species.Group.y","Subgenus.y","Species.y","Subspecies.y"
"1108","Psychoglypha subborealis",NA,NA,NA,"Wisseman et al. (in prep) is working on a key to separate out several species and groups that are widespread and common in PNW streams, but for now genus is the STE.","Psychoglypha","Psychoglypha","Psychoglypha",115981,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Limnephilidae","Limnephilinae","","Chilostigmini","","","Psychoglypha","","","subborealis","",115981,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Limnephilidae","Limnephilinae","","Chilostigmini","","","Psychoglypha","","","subborealis",""
"1186","Rhyacophila Oreta Group",NA,NA,NA,"formatting","Rhyacophila Basalis Group","Rhyacophila Basalis Group","Rhyacophila Basalis Group",-44,"Species Group","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Rhyacophiloidea","Rhyacophilidae","","","","","","Rhyacophila","Rhyacophila Oreta Group","","","",-44,"Species Group","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Rhyacophiloidea","Rhyacophilidae","","","","","","Rhyacophila","Rhyacophila Oreta Group","","",""
"1210","Roederiodes",NA,NA,NA,NA,"Roederiodes/Wiedemannia","Roederiodes/Wiedemannia","Roederiodes/Wiedemannia",135893,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Muscomorpha","","Empididae","Clinocerinae","","","","","Roederiodes","","","","",135893,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Muscomorpha","","Empididae","Clinocerinae","","","","","Roederiodes","","","",""
"1234","Simuliinae",NA,NA,NA,NA,NA,NA,NA,126647,"Subfamily","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Simuliidae","Simuliinae","","","","","","","","","",126647,"Subfamily","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Simuliidae","Simuliinae","","","","","","","","",""
"1256","Slavina",NA,NA,NA,"monotypic","Slavina appendiculata","Oligochaeta","Naidinae",68855,"Genus","Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Naididae","","","","","","Slavina","","","","",68855,"Genus","Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Naididae","","","","","","Slavina","","","",""
"1269","Sphaerium",NA,NA,NA,"nomenclature","Musculium/Sphaerium","Musculium/Sphaerium","Musculium/Sphaerium",81391,"Genus","Mollusca","","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Pisidiidae","","","","","","Sphaerium","","","","",81391,"Genus","Mollusca","","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Pisidiidae","","","","","","Sphaerium","","","",""
"1270","Sphaerium/Musculium",NA,NA,NA,NA,NA,NA,NA,-284,"Genus Group","Mollusca","","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","","","Sphaerium/Musculium","","","","","","",-284,"Genus Group","Mollusca","","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","","","Sphaerium/Musculium","","","","","",""
"1304","Sweltsa",NA,NA,NA,"nomenclature. Gaufinia Stark and Baumann, 2021 (new genus)","Gaufina/Sweltsa","Gaufina/Sweltsa","Gaufina/Sweltsa",103273,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Chloroperlidae","Chloroperlinae","","","","","Sweltsa","","","","",103273,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Chloroperlidae","Chloroperlinae","","","","","Sweltsa","","","",""
"1313","Tabaninae",NA,NA,NA,NA,NA,NA,NA,131232,"Subfamily","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Tabanomorpha","","Tabanidae","Tabaninae","","","","","","","","","",131232,"Subfamily","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Tabanomorpha","","Tabanidae","Tabaninae","","","","","","","","",""
"1339","Thyas",NA,NA,NA,"nomenclature","Parathyas","Parathyas","Parathyas",83190,"Genus","Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Thyasidae","","","","","","Thyas","","","","",83190,"Genus","Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Thyasidae","","","","","","Thyas","","","",""
"1358","Trepaxonemata",NA,NA,NA,NA,"Platyhelminthes","Platyhelminthes","Platyhelminthes",914204,"Class","Platyhelminthes","Rhabditophora","","Trepaxonemata","","","","","","","","","","","","","","","","","","",914204,"Class","Platyhelminthes","Rhabditophora","","Trepaxonemata","","","","","","","","","","","","","","","","","",""
"1363","Trichoclinocera",NA,NA,NA,NA,"Clinocera/Trichoclinocera","Clinocera/Trichoclinocera","Clinocera/Trichoclinocera",135903,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Muscomorpha","","Empididae","Clinocerinae","","","","","Trichoclinocera","","","","",135903,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Muscomorpha","","Empididae","Clinocerinae","","","","","Trichoclinocera","","","",""
"1378","Tubifex tubifex",NA,NA,NA,"just to bring to genus","Tubifex","Oligochaeta","Tubificinae",68623,"Species","Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Tubificidae","","","","","","Tubifex","","","tubifex","",68623,"Species","Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Tubificidae","","","","","","Tubifex","","","tubifex",""
"1414","Wiedemannia",NA,NA,NA,NA,"Roederiodes/Wiedemannia","Roederiodes/Wiedemannia","Roederiodes/Wiedemannia",135920,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Muscomorpha","","Empididae","Clinocerinae","","","","","Wiedemannia","","","","",135920,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Muscomorpha","","Empididae","Clinocerinae","","","","","Wiedemannia","","","",""
